Fecha,Perspectiva,KPI,Valor,Meta
2024-09-01,Aprendizaje,Capacitaciones Mes,20.0,12.0
2024-09-01,Financiera,Ejecucion Presupuestal %,73.41,95.0
2024-10-01,Clientes,Disponibilidad HIS,98.14,99.0
2024-10-01,Clientes,Satisfaccion Usuario,64.58,85.0
2024-10-01,Procesos,Interoperabilidad,28.11,80.0
2024-10-01,Aprendizaje,Capacitaciones Mes,8.0,12.0
2024-10-01,Financiera,Ejecucion Presupuestal %,79.82,95.0
2024-11-01,Clientes,Disponibilidad HIS,98.59,99.0
2024-11-01,Clientes,Satisfaccion Usuario,64.17,85.0
2024-11-01,Procesos,Interoperabilidad,32.4,80.0
2024-11-01,Aprendizaje,Capacitaciones Mes,8.0,12.0
2024-11-01,Financiera,Ejecucion Presupuestal %,87.51,95.0
2024-12-01,Clientes,Disponibilidad HIS,98.01,99.0
2024-12-01,Clientes,Satisfaccion Usuario,68.38,85.0
2024-12-01,Procesos,Interoperabilidad,29.13,80.0
2024-12-01,Aprendizaje,Capacitaciones Mes,11.0,12.0
2024-12-01,Financiera,Ejecucion Presupuestal %,97.89,95.0
2025-01-01,Clientes,Disponibilidad HIS,98.52,99.0
2025-01-01,Clientes,Satisfaccion Usuario,65.67,85.0
2025-01-01,Procesos,Interoperabilidad,31.55,80.0
2025-01-01,Aprendizaje,Capacitaciones Mes,14.0,12.0
2025-01-01,Financiera,Ejecucion Presupuestal %,5.22,95.0
2025-02-01,Clientes,Disponibilidad HIS,98.42,99.0
2025-02-01,Clientes,Satisfaccion Usuario,64.93,85.0
2025-02-01,Procesos,Interoperabilidad,31.51,80.0
2025-02-01,Aprendizaje,Capacitaciones Mes,10.0,12.0
2025-02-01,Financiera,Ejecucion Presupuestal %,15.92,95.0
2025-03-01,Clientes,Disponibilidad HIS,98.22,99.0
2025-03-01,Clientes,Satisfaccion Usuario,67.49,85.0
2025-03-01,Procesos,Interoperabilidad,34.69,80.0
2025-03-01,Aprendizaje,Capacitaciones Mes,25.0,12.0
2025-03-01,Financiera,Ejecucion Presupuestal %,20.98,95.0
2025-04-01,Clientes,Disponibilidad HIS,98.58,99.0
2025-04-01,Clientes,Satisfaccion Usuario,71.9,85.0
2025-04-01,Procesos,Interoperabilidad,35.42,80.0
2025-04-01,Aprendizaje,Capacitaciones Mes,10.0,12.0
2025-04-01,Financiera,Ejecucion Presupuestal %,30.33,95.0
2025-05-01,Clientes,Disponibilidad HIS,98.55,99.0
2025-05-01,Clientes,Satisfaccion Usuario,69.92,85.0
2025-05-01,Procesos,Interoperabilidad,33.2,80.0
2025-05-01,Aprendizaje,Capacitaciones Mes,14.0,12.0
2025-05-01,Financiera,Ejecucion Presupuestal %,38.75,95.0
2025-06-01,Clientes,Disponibilidad HIS,98.38,99.0
2025-06-01,Clientes,Satisfaccion Usuario,67.96,85.0
2025-06-01,Procesos,Interoperabilidad,36.18,80.0
2025-06-01,Aprendizaje,Capacitaciones Mes,18.0,12.0
2025-06-01,Financiera,Ejecucion Presupuestal %,47.65,95.0
2025-07-01,Clientes,Disponibilidad HIS,98.69,99.0
2025-07-01,Clientes,Satisfaccion Usuario,69.34,85.0
2025-07-01,Procesos,Interoperabilidad,38.38,80.0
2025-07-01,Aprendizaje,Capacitaciones Mes,15.0,12.0
2025-07-01,Financiera,Ejecucion Presupuestal %,56.97,95.0
2025-08-01,Clientes,Disponibilidad HIS,98.67,99.0
2025-08-01,Clientes,Satisfaccion Usuario,68.83,85.0
2025-08-01,Procesos,Interoperabilidad,35.96,80.0
2025-08-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2025-08-01,Financiera,Ejecucion Presupuestal %,67.15,95.0
2025-09-01,Clientes,Disponibilidad HIS,98.96,99.0
2025-09-01,Clientes,Satisfaccion Usuario,70.14,85.0
2025-09-01,Procesos,Interoperabilidad,37.23,80.0
2025-09-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2025-09-01,Financiera,Ejecucion Presupuestal %,71.0,95.0
2025-10-01,Clientes,Disponibilidad HIS,98.44,99.0
2025-10-01,Clientes,Satisfaccion Usuario,72.96,85.0
2025-10-01,Procesos,Interoperabilidad,42.42,80.0
2025-10-01,Aprendizaje,Capacitaciones Mes,9.0,12.0
2025-10-01,Financiera,Ejecucion Presupuestal %,80.61,95.0
2025-11-01,Clientes,Disponibilidad HIS,98.19,99.0
2025-11-01,Clientes,Satisfaccion Usuario,74.98,85.0
2025-11-01,Procesos,Interoperabilidad,41.79,80.0
2025-11-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2025-11-01,Financiera,Ejecucion Presupuestal %,91.22,95.0
2025-12-01,Clientes,Disponibilidad HIS,98.97,99.0
2025-12-01,Clientes,Satisfaccion Usuario,71.99,85.0
2025-12-01,Procesos,Interoperabilidad,45.49,80.0
2025-12-01,Aprendizaje,Capacitaciones Mes,11.0,12.0
2025-12-01,Financiera,Ejecucion Presupuestal %,97.25,95.0
2026-01-01,Clientes,Disponibilidad HIS,98.62,99.0
2026-01-01,Clientes,Satisfaccion Usuario,72.19,85.0
2026-01-01,Procesos,Interoperabilidad,43.52,80.0
2026-01-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2026-01-01,Financiera,Ejecucion Presupuestal %,6.71,95.0
2026-02-01,Clientes,Disponibilidad HIS,98.83,99.0
2026-02-01,Clientes,Satisfaccion Usuario,77.65,85.0
2026-02-01,Procesos,Interoperabilidad,42.22,80.0
2026-02-01,Aprendizaje,Capacitaciones Mes,18.0,12.0
2026-02-01,Financiera,Ejecucion Presupuestal %,17.68,95.0
2026-03-01,Clientes,Disponibilidad HIS,98.6,99.0
2026-03-01,Clientes,Satisfaccion Usuario,77.77,85.0
2026-03-01,Procesos,Interoperabilidad,46.36,80.0
2026-03-01,Aprendizaje,Capacitaciones Mes,11.0,12.0
2026-03-01,Financiera,Ejecucion Presupuestal %,26.69,95.0
2026-04-01,Clientes,Disponibilidad HIS,98.82,99.0
2026-04-01,Clientes,Satisfaccion Usuario,74.64,85.0
2026-04-01,Procesos,Interoperabilidad,47.9,80.0
2026-04-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2026-04-01,Financiera,Ejecucion Presupuestal %,33.02,95.0
2026-05-01,Clientes,Disponibilidad HIS,98.89,99.0
2026-05-01,Clientes,Satisfaccion Usuario,72.35,85.0
2026-05-01,Procesos,Interoperabilidad,48.05,80.0
2026-05-01,Aprendizaje,Capacitaciones Mes,16.0,12.0
2026-05-01,Financiera,Ejecucion Presupuestal %,37.27,95.0
2026-06-01,Clientes,Disponibilidad HIS,98.6,99.0
2026-06-01,Clientes,Satisfaccion Usuario,74.88,85.0
2026-06-01,Procesos,Interoperabilidad,46.56,80.0
2026-06-01,Aprendizaje,Capacitaciones Mes,16.0,12.0
2026-06-01,Financiera,Ejecucion Presupuestal %,50.02,95.0
2026-07-01,Clientes,Disponibilidad HIS,98.8,99.0
2026-07-01,Clientes,Satisfaccion Usuario,76.11,85.0
2026-07-01,Procesos,Interoperabilidad,47.98,80.0
2026-07-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2026-07-01,Financiera,Ejecucion Presupuestal %,55.39,95.0
2026-08-01,Clientes,Disponibilidad HIS,98.79,99.0
2026-08-01,Clientes,Satisfaccion Usuario,77.75,85.0
2026-08-01,Procesos,Interoperabilidad,49.71,80.0
2026-08-01,Aprendizaje,Capacitaciones Mes,18.0,12.0
2026-08-01,Financiera,Ejecucion Presupuestal %,64.14,95.0
2026-09-01,Clientes,Disponibilidad HIS,98.4,99.0
2026-09-01,Clientes,Satisfaccion Usuario,72.24,85.0
2026-09-01,Procesos,Interoperabilidad,49.79,80.0
2026-09-01,Aprendizaje,Capacitaciones Mes,14.0,12.0
2026-09-01,Financiera,Ejecucion Presupuestal %,71.54,95.0
2026-10-01,Clientes,Disponibilidad HIS,99.14,99.0
2026-10-01,Clientes,Satisfaccion Usuario,78.06,85.0
2026-10-01,Procesos,Interoperabilidad,51.49,80.0
2026-10-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2026-10-01,Financiera,Ejecucion Presupuestal %,82.93,95.0
2026-11-01,Clientes,Disponibilidad HIS,99.03,99.0
2026-11-01,Clientes,Satisfaccion Usuario,79.18,85.0
2026-11-01,Procesos,Interoperabilidad,51.35,80.0
2026-11-01,Aprendizaje,Capacitaciones Mes,15.0,12.0
2026-11-01,Financiera,Ejecucion Presupuestal %,88.36,95.0
2026-12-01,Clientes,Disponibilidad HIS,98.74,99.0
2026-12-01,Clientes,Satisfaccion Usuario,79.08,85.0
2026-12-01,Procesos,Interoperabilidad,54.88,80.0
2026-12-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2026-12-01,Financiera,Ejecucion Presupuestal %,93.98,95.0
2027-01-01,Clientes,Disponibilidad HIS,98.81,99.0
2027-01-01,Clientes,Satisfaccion Usuario,80.25,85.0
2027-01-01,Procesos,Interoperabilidad,52.01,80.0
2027-01-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2027-01-01,Financiera,Ejecucion Presupuestal %,6.52,95.0
2027-02-01,Clientes,Disponibilidad HIS,98.81,99.0
2027-02-01,Clientes,Satisfaccion Usuario,80.03,85.0
2027-02-01,Procesos,Interoperabilidad,53.71,80.0
2027-02-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2027-02-01,Financiera,Ejecucion Presupuestal %,14.25,95.0
2027-03-01,Clientes,Disponibilidad HIS,98.67,99.0
2027-03-01,Clientes,Satisfaccion Usuario,80.25,85.0
2027-03-01,Procesos,Interoperabilidad,53.16,80.0
2027-03-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2027-03-01,Financiera,Ejecucion Presupuestal %,25.83,95.0
2027-04-01,Clientes,Disponibilidad HIS,99.22,99.0
2027-04-01,Clientes,Satisfaccion Usuario,79.93,85.0
2027-04-01,Procesos,Interoperabilidad,55.96,80.0
2027-04-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2027-04-01,Financiera,Ejecucion Presupuestal %,31.39,95.0
2027-05-01,Clientes,Disponibilidad HIS,99.47,99.0
2027-05-01,Clientes,Satisfaccion Usuario,81.49,85.0
2027-05-01,Procesos,Interoperabilidad,56.19,80.0
2027-05-01,Aprendizaje,Capacitaciones Mes,10.0,12.0
2027-05-01,Financiera,Ejecucion Presupuestal %,39.33,95.0
2027-06-01,Clientes,Disponibilidad HIS,98.79,99.0
2027-06-01,Clientes,Satisfaccion Usuario,81.88,85.0
2027-06-01,Procesos,Interoperabilidad,57.12,80.0
2027-06-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2027-06-01,Financiera,Ejecucion Presupuestal %,44.35,95.0
2027-07-01,Clientes,Disponibilidad HIS,99.3,99.0
2027-07-01,Clientes,Satisfaccion Usuario,83.16,85.0
2027-07-01,Procesos,Interoperabilidad,57.95,80.0
2027-07-01,Aprendizaje,Capacitaciones Mes,10.0,12.0
2027-07-01,Financiera,Ejecucion Presupuestal %,57.06,95.0
2027-08-01,Clientes,Disponibilidad HIS,98.56,99.0
2027-08-01,Clientes,Satisfaccion Usuario,83.57,85.0
2027-08-01,Procesos,Interoperabilidad,57.05,80.0
2027-08-01,Aprendizaje,Capacitaciones Mes,16.0,12.0
2027-08-01,Financiera,Ejecucion Presupuestal %,64.48,95.0
2027-09-01,Clientes,Disponibilidad HIS,99.11,99.0
2027-09-01,Clientes,Satisfaccion Usuario,80.74,85.0
2027-09-01,Procesos,Interoperabilidad,59.77,80.0
2027-09-01,Aprendizaje,Capacitaciones Mes,15.0,12.0
2027-09-01,Financiera,Ejecucion Presupuestal %,70.06,95.0
2027-10-01,Clientes,Disponibilidad HIS,98.62,99.0
2027-10-01,Clientes,Satisfaccion Usuario,83.79,85.0
2027-10-01,Procesos,Interoperabilidad,62.39,80.0
2027-10-01,Aprendizaje,Capacitaciones Mes,18.0,12.0
2027-10-01,Financiera,Ejecucion Presupuestal %,81.06,95.0
2027-11-01,Clientes,Disponibilidad HIS,99.65,99.0
2027-11-01,Clientes,Satisfaccion Usuario,83.38,85.0
2027-11-01,Procesos,Interoperabilidad,62.22,80.0
2027-11-01,Aprendizaje,Capacitaciones Mes,15.0,12.0
2027-11-01,Financiera,Ejecucion Presupuestal %,85.06,95.0
2027-12-01,Clientes,Disponibilidad HIS,99.5,99.0
2027-12-01,Clientes,Satisfaccion Usuario,85.45,85.0
2027-12-01,Procesos,Interoperabilidad,62.36,80.0
2027-12-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2027-12-01,Financiera,Ejecucion Presupuestal %,94.98,95.0
2028-01-01,Clientes,Disponibilidad HIS,99.16,99.0
2028-01-01,Clientes,Satisfaccion Usuario,85.4,85.0
2028-01-01,Procesos,Interoperabilidad,63.17,80.0
2028-01-01,Aprendizaje,Capacitaciones Mes,7.0,12.0
2028-01-01,Financiera,Ejecucion Presupuestal %,8.86,95.0
2028-02-01,Clientes,Disponibilidad HIS,99.47,99.0
2028-02-01,Clientes,Satisfaccion Usuario,87.81,85.0
2028-02-01,Procesos,Interoperabilidad,64.61,80.0
2028-02-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2028-02-01,Financiera,Ejecucion Presupuestal %,15.83,95.0
2028-03-01,Clientes,Disponibilidad HIS,99.16,99.0
2028-03-01,Clientes,Satisfaccion Usuario,84.63,85.0
2028-03-01,Procesos,Interoperabilidad,67.36,80.0
2028-03-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2028-03-01,Financiera,Ejecucion Presupuestal %,21.87,95.0
2028-04-01,Clientes,Disponibilidad HIS,99.97,99.0
2028-04-01,Clientes,Satisfaccion Usuario,87.92,85.0
2028-04-01,Procesos,Interoperabilidad,70.49,80.0
2028-04-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2028-04-01,Financiera,Ejecucion Presupuestal %,33.11,95.0
2028-05-01,Clientes,Disponibilidad HIS,99.33,99.0
2028-05-01,Clientes,Satisfaccion Usuario,84.05,85.0
2028-05-01,Procesos,Interoperabilidad,69.37,80.0
2028-05-01,Aprendizaje,Capacitaciones Mes,11.0,12.0
2028-05-01,Financiera,Ejecucion Presupuestal %,38.65,95.0
2028-06-01,Clientes,Disponibilidad HIS,99.86,99.0
2028-06-01,Clientes,Satisfaccion Usuario,84.88,85.0
2028-06-01,Procesos,Interoperabilidad,70.0,80.0
2028-06-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2028-06-01,Financiera,Ejecucion Presupuestal %,49.13,95.0
2028-07-01,Clientes,Disponibilidad HIS,98.81,99.0
2028-07-01,Clientes,Satisfaccion Usuario,87.93,85.0
2028-07-01,Procesos,Interoperabilidad,65.6,80.0
2028-07-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2028-07-01,Financiera,Ejecucion Presupuestal %,56.47,95.0
2028-08-01,Clientes,Disponibilidad HIS,100.22,99.0
2028-08-01,Clientes,Satisfaccion Usuario,88.02,85.0
2028-08-01,Procesos,Interoperabilidad,70.57,80.0
2028-08-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2028-08-01,Financiera,Ejecucion Presupuestal %,62.42,95.0
2028-09-01,Clientes,Disponibilidad HIS,99.94,99.0
2028-09-01,Clientes,Satisfaccion Usuario,85.04,85.0
2028-09-01,Procesos,Interoperabilidad,72.14,80.0
2028-09-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2028-09-01,Financiera,Ejecucion Presupuestal %,71.99,95.0
2028-10-01,Clientes,Disponibilidad HIS,99.93,99.0
2028-10-01,Clientes,Satisfaccion Usuario,86.0,85.0
2028-10-01,Procesos,Interoperabilidad,70.47,80.0
2028-10-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2028-10-01,Financiera,Ejecucion Presupuestal %,79.85,95.0
2028-11-01,Clientes,Disponibilidad HIS,99.19,99.0
2028-11-01,Clientes,Satisfaccion Usuario,86.37,85.0
2028-11-01,Procesos,Interoperabilidad,73.52,80.0
2028-11-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2028-11-01,Financiera,Ejecucion Presupuestal %,87.19,95.0
2028-12-01,Clientes,Disponibilidad HIS,99.4,99.0
2028-12-01,Clientes,Satisfaccion Usuario,85.13,85.0
2028-12-01,Procesos,Interoperabilidad,73.23,80.0
2028-12-01,Aprendizaje,Capacitaciones Mes,18.0,12.0
2028-12-01,Financiera,Ejecucion Presupuestal %,96.77,95.0
2029-01-01,Clientes,Disponibilidad HIS,98.98,99.0
2029-01-01,Clientes,Satisfaccion Usuario,88.79,85.0
2029-01-01,Procesos,Interoperabilidad,76.21,80.0
2029-01-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2029-01-01,Financiera,Ejecucion Presupuestal %,6.04,95.0
2029-02-01,Clientes,Disponibilidad HIS,100.07,99.0
2029-02-01,Clientes,Satisfaccion Usuario,88.63,85.0
2029-02-01,Procesos,Interoperabilidad,77.7,80.0
2029-02-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2029-02-01,Financiera,Ejecucion Presupuestal %,14.61,95.0
2029-03-01,Clientes,Disponibilidad HIS,99.6,99.0
2029-03-01,Clientes,Satisfaccion Usuario,91.14,85.0
2029-03-01,Procesos,Interoperabilidad,75.16,80.0
2029-03-01,Aprendizaje,Capacitaciones Mes,15.0,12.0
2029-03-01,Financiera,Ejecucion Presupuestal %,21.08,95.0
2029-04-01,Clientes,Disponibilidad HIS,99.81,99.0
2029-04-01,Clientes,Satisfaccion Usuario,86.92,85.0
2029-04-01,Procesos,Interoperabilidad,78.14,80.0
2029-04-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2029-04-01,Financiera,Ejecucion Presupuestal %,32.84,95.0
2029-05-01,Clientes,Disponibilidad HIS,99.2,99.0
2029-05-01,Clientes,Satisfaccion Usuario,86.89,85.0
2029-05-01,Procesos,Interoperabilidad,78.61,80.0
2029-05-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2029-05-01,Financiera,Ejecucion Presupuestal %,39.74,95.0
2029-06-01,Clientes,Disponibilidad HIS,99.68,99.0
2029-06-01,Clientes,Satisfaccion Usuario,90.81,85.0
2029-06-01,Procesos,Interoperabilidad,78.0,80.0
2029-06-01,Aprendizaje,Capacitaciones Mes,10.0,12.0
2029-06-01,Financiera,Ejecucion Presupuestal %,49.43,95.0
2029-07-01,Clientes,Disponibilidad HIS,99.62,99.0
2029-07-01,Clientes,Satisfaccion Usuario,87.97,85.0
2029-07-01,Procesos,Interoperabilidad,80.55,80.0
2029-07-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2029-07-01,Financiera,Ejecucion Presupuestal %,56.94,95.0
2029-08-01,Clientes,Disponibilidad HIS,100.02,99.0
2029-08-01,Clientes,Satisfaccion Usuario,89.79,85.0
2029-08-01,Procesos,Interoperabilidad,82.67,80.0
2029-08-01,Aprendizaje,Capacitaciones Mes,14.0,12.0
2029-08-01,Financiera,Ejecucion Presupuestal %,63.22,95.0
2029-09-01,Clientes,Disponibilidad HIS,99.81,99.0
2029-09-01,Clientes,Satisfaccion Usuario,86.18,85.0
2029-09-01,Procesos,Interoperabilidad,81.57,80.0
2029-09-01,Aprendizaje,Capacitaciones Mes,14.0,12.0
2029-09-01,Financiera,Ejecucion Presupuestal %,71.85,95.0
2029-10-01,Clientes,Disponibilidad HIS,100.0,99.0
2029-10-01,Clientes,Satisfaccion Usuario,91.22,85.0
2029-10-01,Procesos,Interoperabilidad,82.38,80.0
2029-10-01,Aprendizaje,Capacitaciones Mes,17.0,12.0
2029-10-01,Financiera,Ejecucion Presupuestal %,77.35,95.0
2029-11-01,Clientes,Disponibilidad HIS,99.68,99.0
2029-11-01,Clientes,Satisfaccion Usuario,90.82,85.0
2029-11-01,Procesos,Interoperabilidad,83.05,80.0
2029-11-01,Aprendizaje,Capacitaciones Mes,13.0,12.0
2029-11-01,Financiera,Ejecucion Presupuestal %,87.06,95.0
2029-12-01,Clientes,Disponibilidad HIS,99.72,99.0
2029-12-01,Clientes,Satisfaccion Usuario,93.16,85.0
2029-12-01,Procesos,Interoperabilidad,85.26,80.0
2029-12-01,Aprendizaje,Capacitaciones Mes,12.0,12.0
2029-12-01,Financiera,Ejecucion Presupuestal %,99.47,95.0
